ID,Hylak_id,latitude,longitude,Name,Type,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
5872,822,34.4062,-82.8488,Hartwell, Lake,United States of America,North America,SWBD,2,1851,189.27,757.75,15.54,4241.6,4241.6,2,22.3999996,123.15,398.6,204,3.2,5450.9,-82.822993,34.360491
1773,175439,31.8799,113.1184,Heiwuwan, Reservoir,China,Asia,SWBD,2,5343,3.35,44.41,6.8400002,179.4,179.4,2,53.5,4.529,458.5,112,3.52,512.6,113.126682,31.864975
8850,9540,30.0075,-95.1316,Houston, Lake,United States of America,North America,SWBD,2,1300,37.3,71.37,3.3,347.6,347.6,2,9.3000002,78.872,51,15,1.7,7231,-95.132778,29.920584
10272,9456,32.7909,-98.9992,Hubbard Creek, Reservoir,United States of America,North America,SWBD,2,1179,43.15,106.27,4.5599999,888.1,888.1,2,20.6000004,3.798,2706.4,360,1.24,2852.4,-98.962026,32.825436
250,123,48.9898,117.4521,Hulun, Lake,China,Asia,SWBD,1,0,2121.43,424.9,2.5999999,13100,0,1,6.1999998,28.131,5389.8,540,-1,133702.3,117.712696,49.366475
33,8,44.7155,-82.4194,Huron, Lake,United States of America,North America,SWBD,1,0,59399.3,8856.64,10.25,3550000,0,1,59.7999992,9162.152,4484.5,175,-1,576017.7,-82.422576,42.999403
283,80,-20.3331,-51.3084,Ilha Solteira,Unkownn,Brazil,South America,SWBD,2,2390,1077.23,1719,14.7700005,21170,21170,2,19.7000008,5319.643,46.1,323,-1,372641.6,-51.377077,-20.37291
114,1163,58.2893,31.3028,Ilmen, Lake,Russia,Europe,SWBD,3,4359,959.75,411.38,3.75,12000,3000,1,12.5,586.006,237,16,-1,67185.8,31.281179,58.455806
2696,1234,48.4906,51.8754,Inder, Lake,Kazakhstan,Asia,SWBD,1,0,121.98,67.95,1.74,1525.61,0,3,12.5,0.054,326992.1,-27,2.25,430.3,51.922917,48.460417
47,136,42.4,77.3,Issyk-Kul, Lake,Kyrgyzstan,Asia,SWBD,1,0,6195.93,608.84,2.1800001,1738000,0,1,280.5,72.678,276778.9,1601,-1,21917,77.427083,42.485417
10347,10329,-21.3433,-44.6041,Itutinga, Reservoir,Brazil,South America,SWBD,2,2543,56.33,305.6,11.4899998,792,792,2,14.1000004,117.173,78.2,911,4.8200002,6261.8,-44.61514,-21.327666
3581,119083,-7.373,-37.74,Jenipapeiro, Reservoir,Brazil,South America,SWBD,1,0,1.39,14.07,3.3599999,6.54,0,3,4.6999998,3.792,20,293,2.73,637.2,-37.757292,-7.327749
